"","Herbicide","L","U","midPoint"
"1","A",0.1,5,2.55
"2","A",0.1,5,2.55
"3","A",5,25,15
"4","A",5,25,15
"5","B",0.1,5,2.55
"6","B",0.1,5,2.55
"7","B",5,25,15
"8","B",5,25,15
"9","C",0,0.1,0.05
"10","C",0.1,5,2.5
"11","C",5,25,15
"12","C",5,25,15
"13","D",0,0.1,0.05
"14","D",0.1,5,2.55
"15","D",5,25,15
"16","D",5,25,15
"17","E",0,0.1,0.05
"18","E",0,0.1,0.05
"19","E",0.1,5,2.55
"20","E",0.1,5,2.55
"21","F",5,25,15
"22","F",5,25,15
"23","F",25,50,37.5
"24","F",25,50,37.5
"25","G",0.1,5,2.5
"26","G",0.1,5,2.55
"27","G",5,25,15
"28","G",5,25,15
"29","H",0,0.1,0.1
"30","H",0.1,5,2.55
"31","H",5,25,15
"32","H",5,25,15
"33","I",75,100,87.5
"34","I",25,50,37.5
"35","I",50,75,62.5
"36","I",25,50,37.5
