"","obsT","cumProp","temp"
"1",1,0.02,"15"
"2",3,0.14,"15"
"3",5,0.25,"15"
"4",7,0.38,"15"
"5",9,0.52,"15"
"6",11,0.56,"15"
"7",13,0.62,"15"
"8",15,0.66,"15"
"9",17,0.71,"15"
"10",19,0.76,"15"
"11",21,0.78,"15"
"12",23,0.79,"15"
"13",25,0.81,"15"
"14",27,0.82,"15"
"15",29,0.85,"15"
"16",31,0.87,"15"
"17",33,0.89,"15"
"18",35,0.91,"15"
"19",37,0.91,"15"
"20",39,0.92,"15"
"21",1,0.1,"25"
"22",3,0.36,"25"
"23",5,0.49,"25"
"24",7,0.58,"25"
"25",9,0.68,"25"
"26",11,0.71,"25"
"27",13,0.77,"25"
"28",15,0.81,"25"
"29",17,0.82,"25"
"30",19,0.84,"25"
"31",21,0.86,"25"
"32",23,0.89,"25"
"33",25,0.89,"25"
"34",27,0.9,"25"
"35",29,0.92,"25"
"36",31,0.94,"25"
"37",33,0.94,"25"
"38",35,0.94,"25"
"39",37,0.95,"25"
"40",39,0.96,"25"
