"","Photo","Group","Class","sizeLow","sizeUp"
"1",1,"P1","c1",NA,4
"2",1,"P1","c1",NA,4
"3",1,"P1","c1",NA,4
"4",1,"P1","c1",NA,4
"5",1,"P1","c1",NA,4
"6",1,"P1","c1",NA,4
"7",1,"P1","c1",NA,4
"8",1,"P1","c1",NA,4
"9",1,"P1","c1",NA,4
"10",1,"P1","c1",NA,4
"11",1,"P1","c1",NA,4
"12",1,"P1","c1",NA,4
"13",1,"P1","c1",NA,4
"14",1,"P1","c1",NA,4
"15",1,"P1","c1",NA,4
"16",1,"P1","c1",NA,4
"17",1,"P1","c1",NA,4
"18",1,"P1","c1",NA,4
"19",1,"P1","c1",NA,4
"20",1,"P1","c1",NA,4
"21",1,"P1","c1",NA,4
"22",2,"P1","c1",NA,4
"23",2,"P1","c1",NA,4
"24",2,"P1","c1",NA,4
"25",2,"P1","c1",NA,4
"26",2,"P1","c1",NA,4
"27",2,"P1","c1",NA,4
"28",2,"P1","c1",NA,4
"29",2,"P1","c1",NA,4
"30",2,"P1","c1",NA,4
"31",2,"P1","c1",NA,4
"32",2,"P1","c1",NA,4
"33",2,"P1","c1",NA,4
"34",2,"P1","c1",NA,4
"35",2,"P1","c1",NA,4
"36",2,"P1","c1",NA,4
"37",2,"P1","c1",NA,4
"38",2,"P1","c1",NA,4
"39",2,"P1","c1",NA,4
"40",2,"P1","c1",NA,4
"41",2,"P1","c1",NA,4
"42",2,"P1","c1",NA,4
"43",2,"P1","c1",NA,4
"44",2,"P1","c1",NA,4
"45",3,"P1","c1",NA,4
"46",3,"P1","c1",NA,4
"47",3,"P1","c1",NA,4
"48",3,"P1","c1",NA,4
"49",3,"P1","c1",NA,4
"50",3,"P1","c1",NA,4
"51",3,"P1","c1",NA,4
"52",3,"P1","c1",NA,4
"53",3,"P1","c1",NA,4
"54",3,"P1","c1",NA,4
"55",3,"P1","c1",NA,4
"56",3,"P1","c1",NA,4
"57",3,"P1","c1",NA,4
"58",3,"P1","c1",NA,4
"59",3,"P1","c1",NA,4
"60",3,"P1","c1",NA,4
"61",3,"P1","c1",NA,4
"62",4,"P1","c1",NA,4
"63",4,"P1","c1",NA,4
"64",4,"P1","c1",NA,4
"65",4,"P1","c1",NA,4
"66",4,"P1","c1",NA,4
"67",4,"P1","c1",NA,4
"68",4,"P1","c1",NA,4
"69",4,"P1","c1",NA,4
"70",4,"P1","c1",NA,4
"71",4,"P1","c1",NA,4
"72",4,"P1","c1",NA,4
"73",4,"P1","c1",NA,4
"74",4,"P1","c1",NA,4
"75",4,"P1","c1",NA,4
"76",4,"P1","c1",NA,4
"77",4,"P1","c1",NA,4
"78",4,"P1","c1",NA,4
"79",4,"P1","c1",NA,4
"80",4,"P1","c1",NA,4
"81",4,"P1","c1",NA,4
"82",4,"P1","c1",NA,4
"83",4,"P1","c1",NA,4
"84",4,"P1","c1",NA,4
"85",4,"P1","c1",NA,4
"86",5,"P1","c1",NA,4
"87",5,"P1","c1",NA,4
"88",5,"P1","c1",NA,4
"89",5,"P1","c1",NA,4
"90",5,"P1","c1",NA,4
"91",5,"P1","c1",NA,4
"92",5,"P1","c1",NA,4
"93",5,"P1","c1",NA,4
"94",5,"P1","c1",NA,4
"95",5,"P1","c1",NA,4
"96",5,"P1","c1",NA,4
"97",5,"P1","c1",NA,4
"98",5,"P1","c1",NA,4
"99",5,"P1","c1",NA,4
"100",5,"P1","c1",NA,4
"101",5,"P1","c1",NA,4
"102",5,"P1","c1",NA,4
"103",5,"P1","c1",NA,4
"104",5,"P1","c1",NA,4
"105",6,"P1","c1",NA,4
"106",6,"P1","c1",NA,4
"107",6,"P1","c1",NA,4
"108",6,"P1","c1",NA,4
"109",6,"P1","c1",NA,4
"110",6,"P1","c1",NA,4
"111",6,"P1","c1",NA,4
"112",6,"P1","c1",NA,4
"113",6,"P1","c1",NA,4
"114",6,"P1","c1",NA,4
"115",6,"P1","c1",NA,4
"116",6,"P1","c1",NA,4
"117",6,"P1","c1",NA,4
"118",7,"P1","c1",NA,4
"119",7,"P1","c1",NA,4
"120",7,"P1","c1",NA,4
"121",7,"P1","c1",NA,4
"122",7,"P1","c1",NA,4
"123",7,"P1","c1",NA,4
"124",7,"P1","c1",NA,4
"125",7,"P1","c1",NA,4
"126",7,"P1","c1",NA,4
"127",7,"P1","c1",NA,4
"128",7,"P1","c1",NA,4
"129",7,"P1","c1",NA,4
"130",7,"P1","c1",NA,4
"131",7,"P1","c1",NA,4
"132",7,"P1","c1",NA,4
"133",7,"P1","c1",NA,4
"134",7,"P1","c1",NA,4
"135",7,"P1","c1",NA,4
"136",7,"P1","c1",NA,4
"137",7,"P1","c1",NA,4
"138",7,"P1","c1",NA,4
"139",7,"P1","c1",NA,4
"140",7,"P1","c1",NA,4
"141",7,"P1","c1",NA,4
"142",7,"P1","c1",NA,4
"143",7,"P1","c1",NA,4
"144",7,"P1","c1",NA,4
"145",7,"P1","c1",NA,4
"146",7,"P1","c1",NA,4
"147",7,"P1","c1",NA,4
"148",7,"P1","c1",NA,4
"149",7,"P1","c1",NA,4
"150",7,"P1","c1",NA,4
"151",7,"P1","c1",NA,4
"152",8,"P1","c1",NA,4
"153",8,"P1","c1",NA,4
"154",8,"P1","c1",NA,4
